FeedbackID,CustomerID,ProductID,Review,Rating,Date
FB000001,CUST038998,P0436,Build quality and after-sales support are great,4,2023-09-16
FB000002,CUST042503,P0111,Super fast delivery and genuine product,5,2023-09-19
FB000003,CUST039072,P0318,"Great value for money, battery life is superb",5,2023-07-25
FB000004,CUST011858,P0311,Loved the display and performance,4,2025-03-28
FB000005,CUST039533,P0249,"Average performance, heats up a bit while gaming",3,2023-11-25
FB000006,CUST007579,P0409,Loved the display and performance,5,2023-09-26
FB000007,CUST014863,P0149,Warranty claim process was very slow,1,2026-06-21
FB000008,CUST006570,P0058,Loved the display and performance,5,2026-02-26
FB000009,CUST016319,P0360,"Average performance, heats up a bit while gaming",3,2025-05-19
FB000010,CUST034036,P0419,"It's fine, delivery took a couple of extra days",3,2023-10-03
FB000011,CUST036817,P0323,"Phone is okay, expected slightly better battery",3,2024-09-20
FB000012,CUST010051,P0209,"Great value for money, battery life is superb",4,2026-05-21
FB000013,CUST036134,P0540,"Excellent phone, camera quality is amazing",5,2025-03-22
FB000014,CUST019121,P0334,"It's fine, delivery took a couple of extra days",3,2024-03-16
FB000015,CUST044370,P0390,Warranty claim process was very slow,1,2026-05-16
FB000016,CUST008637,P0212,"Average performance, heats up a bit while gaming",3,2024-03-05
FB000017,CUST041261,P0163,"Very happy with the purchase, smooth experience",5,2023-10-05
FB000018,CUST016357,P0542,"Poor packaging, box was damaged on arrival",2,2023-09-26
FB000019,CUST012357,P0122,"Battery drains too fast, not worth the price",2,2024-10-03
FB000020,CUST013593,P0593,"Very happy with the purchase, smooth experience",5,2024-05-03
FB000021,CUST021600,P0070,Super fast delivery and genuine product,5,2025-06-19
FB000022,CUST039757,P0574,Super fast delivery and genuine product,5,2024-03-05
FB000023,CUST033470,P0307,Loved the display and performance,4,2025-12-11
FB000024,CUST014754,P0219,"Very happy with the purchase, smooth experience",4,2023-07-16
FB000025,CUST049135,P0381,Loved the display and performance,5,2025-04-24
FB000026,CUST037561,P0378,Build quality and after-sales support are great,4,2026-04-20
FB000027,CUST003714,P0465,"Excellent phone, camera quality is amazing",5,2024-03-04
FB000028,CUST049107,P0040,"It's fine, delivery took a couple of extra days",3,2026-06-24
FB000029,CUST030417,P0005,"Phone hung frequently, had to get it exchanged",2,2026-01-16
FB000030,CUST015444,P0010,"Phone hung frequently, had to get it exchanged",1,2025-07-31
FB000031,CUST021427,P0479,Super fast delivery and genuine product,5,2026-01-16
FB000032,CUST034849,P0405,Warranty claim process was very slow,2,2024-05-19
FB000033,CUST008151,P0282,Warranty claim process was very slow,1,2025-04-20
FB000034,CUST012674,P0196,"Excellent phone, camera quality is amazing",5,2024-10-16
FB000035,CUST001479,P0147,"Great value for money, battery life is superb",4,2025-08-02
FB000036,CUST008796,P0522,"Excellent phone, camera quality is amazing",4,2025-01-22
FB000037,CUST026349,P0495,"It's fine, delivery took a couple of extra days",3,2023-12-27
FB000038,CUST032626,P0399,"Very happy with the purchase, smooth experience",5,2023-08-08
FB000039,CUST005149,P0062,Super fast delivery and genuine product,5,2026-04-22
FB000040,CUST024592,P0392,"It's fine, delivery took a couple of extra days",3,2024-06-15
FB000041,CUST013829,P0307,"Excellent phone, camera quality is amazing",5,2024-02-23
FB000042,CUST011898,P0574,Super fast delivery and genuine product,5,2026-01-28
FB000043,CUST000388,P0253,"Received a scratched unit, very disappointed",1,2025-07-22
FB000044,CUST031722,P0002,"Very happy with the purchase, smooth experience",4,2025-10-29
FB000045,CUST013973,P0441,Build quality and after-sales support are great,4,2024-06-08
FB000046,CUST014926,P0033,"It's fine, delivery took a couple of extra days",3,2025-03-31
FB000047,CUST035072,P0038,"Average performance, heats up a bit while gaming",3,2026-01-18
FB000048,CUST037052,P0070,"Great value for money, battery life is superb",4,2023-08-12
FB000049,CUST006731,P0517,"Phone is okay, expected slightly better battery",3,2025-07-24
FB000050,CUST026065,P0297,"Great value for money, battery life is superb",5,2024-03-30
FB000051,CUST036098,P0332,"Excellent phone, camera quality is amazing",5,2026-05-11
FB000052,CUST033599,P0539,Build quality and after-sales support are great,4,2025-08-28
FB000053,CUST034139,P0341,"Received a scratched unit, very disappointed",1,2024-07-27
FB000054,CUST022288,P0520,Super fast delivery and genuine product,4,2025-08-14
FB000055,CUST043277,P0138,"Battery drains too fast, not worth the price",1,2023-12-08
FB000056,CUST038092,P0260,"Poor packaging, box was damaged on arrival",2,2023-11-24
FB000057,CUST015901,P0174,Super fast delivery and genuine product,4,2024-09-22
FB000058,CUST020112,P0118,"Average performance, heats up a bit while gaming",3,2025-05-22
FB000059,CUST012068,P0467,"Great value for money, battery life is superb",5,2024-11-07
FB000060,CUST002803,P0350,"Excellent phone, camera quality is amazing",4,2025-08-13
FB000061,CUST003626,P0273,"Great value for money, battery life is superb",5,2026-04-16
FB000062,CUST007692,P0559,"Battery drains too fast, not worth the price",2,2024-01-25
FB000063,CUST011293,P0184,"Phone is okay, expected slightly better battery",3,2023-08-30
FB000064,CUST025718,P0117,"Received a scratched unit, very disappointed",2,2025-10-05
FB000065,CUST042465,P0205,"Poor packaging, box was damaged on arrival",2,2024-12-26
FB000066,CUST027986,P0583,"Received a scratched unit, very disappointed",1,2024-11-16
FB000067,CUST013252,P0270,"Phone is okay, expected slightly better battery",3,2024-03-07
FB000068,CUST004582,P0276,Warranty claim process was very slow,1,2025-01-14
FB000069,CUST049825,P0385,"Phone is okay, expected slightly better battery",3,2025-02-11
FB000070,CUST040033,P0491,Loved the display and performance,5,2023-10-21
FB000071,CUST005518,P0294,"Excellent phone, camera quality is amazing",5,2025-11-23
FB000072,CUST000475,P0182,Build quality and after-sales support are great,4,2024-09-27
FB000073,CUST007745,P0333,"Excellent phone, camera quality is amazing",4,2024-07-07
FB000074,CUST041955,P0563,"Poor packaging, box was damaged on arrival",2,2023-07-26
FB000075,CUST030325,P0295,"Received a scratched unit, very disappointed",1,2024-01-28
FB000076,CUST042849,P0275,"Poor packaging, box was damaged on arrival",2,2025-08-10
FB000077,CUST004397,P0417,"It's fine, delivery took a couple of extra days",3,2024-12-17
FB000078,CUST013201,P0397,"Battery drains too fast, not worth the price",1,2024-05-31
